E,1:S,SE,LCI,UCI
0.257,0.578415907,0.033243595,0.512265529,0.641866806
0.26433,0.58063312,0.034167017,0.512585116,0.645746625
0.27166,0.582848707,0.035088358,0.512902105,0.649612756
0.27899,0.585062622,0.036007563,0.513216416,0.653464868
0.28632,0.587274821,0.036924574,0.513527971,0.657302632
0.29365,0.589485259,0.037839335,0.51383669,0.661125725
0.30098,0.591693892,0.038751789,0.514142492,0.664933825
0.30831,0.593900675,0.03966188,0.514445297,0.668726617
0.31564,0.596105564,0.04056955,0.514745022,0.672503788
0.32297,0.598308514,0.041474745,0.515041586,0.676265029
0.3303,0.60050948,0.042377407,0.515334905,0.680010037
0.33763,0.602708419,0.043277481,0.515624895,0.683738511
0.34496,0.604905286,0.04417491,0.515911472,0.687450155
0.35229,0.607100036,0.045069639,0.516194551,0.691144679
0.35962,0.609292626,0.045961611,0.516474045,0.694821795
0.36695,0.611483011,0.04685077,0.516749869,0.69848122
0.37428,0.613671146,0.047737062,0.517021933,0.702122677
0.38161,0.615856988,0.048620429,0.517290151,0.705745892
0.38894,0.618040493,0.049500818,0.517554432,0.709350597
0.39627,0.620221617,0.050378172,0.517814687,0.712936526
0.4036,0.622400315,0.051252436,0.518070824,0.716503421
0.41093,0.624576544,0.052123554,0.518322752,0.720051026
0.41826,0.62675026,0.052991473,0.518570377,0.723579093
0.42559,0.628921418,0.053856136,0.518813605,0.727087374
0.43292,0.631089975,0.054717489,0.519052343,0.730575631
0.44025,0.633255888,0.055575476,0.519286493,0.734043628
0.44758,0.635419113,0.056430045,0.519515959,0.737491134
0.45491,0.637579605,0.057281139,0.519740642,0.740917923
0.46224,0.639737322,0.058128704,0.519960444,0.744323776
0.46957,0.64189222,0.058972687,0.520175265,0.747708477
0.4769,0.644044255,0.059813032,0.520385002,0.751071815
0.48423,0.646193384,0.060649686,0.520589553,0.754413585
0.49156,0.648339563,0.061482595,0.520788814,0.757733586
0.49889,0.650482751,0.062311705,0.52098268,0.761031624
0.50622,0.652622902,0.063136962,0.521171045,0.764307508
0.51355,0.654759974,0.063958313,0.521353801,0.767561054
0.52088,0.656893923,0.064775705,0.521530839,0.770792082
0.52821,0.659024708,0.065589083,0.521702048,0.774000416
0.53554,0.661152284,0.066398395,0.521867316,0.777185889
0.54287,0.66327661,0.067203588,0.522026531,0.780348335
0.5502,0.665397641,0.068004609,0.522179577,0.783487596
0.55753,0.667515335,0.068801406,0.522326338,0.786603517
0.56486,0.66962965,0.069593925,0.522466696,0.789695951
0.57219,0.671740542,0.070382114,0.522600532,0.792764753
0.57952,0.67384797,0.07116592,0.522727724,0.795809786
0.58685,0.675951891,0.071945293,0.52284815,0.798830916
0.59418,0.678052262,0.072720179,0.522961686,0.801828016
0.60151,0.68014904,0.073490527,0.523068204,0.804800964
0.60884,0.682242184,0.074256285,0.523167578,0.80774964
0.61617,0.684331652,0.075017402,0.523259676,0.810673934
0.6235,0.686417401,0.075773826,0.523344369,0.813573739
0.63083,0.688499389,0.076525505,0.523421521,0.816448951
0.63816,0.690577574,0.07727239,0.523490997,0.819299475
0.64549,0.692651914,0.078014428,0.52355266,0.822125218
0.65282,0.694722368,0.07875157,0.52360637,0.824926094
0.66015,0.696788893,0.079483764,0.523651985,0.827702021
0.66748,0.698851448,0.080210961,0.523689361,0.830452923
0.67481,0.700909991,0.080933109,0.523718352,0.833178729
0.68214,0.702964481,0.081650159,0.523738809,0.835879371
0.68947,0.705014877,0.082362062,0.523750582,0.838554788
0.6968,0.707061136,0.083068766,0.523753518,0.841204924
0.70413,0.709103218,0.083770223,0.523747461,0.843829727
0.71146,0.711141082,0.084466383,0.523732254,0.84642915
0.71879,0.713174685,0.085157198,0.523707735,0.849003152
0.72612,0.715203988,0.085842617,0.523673741,0.851551695
0.73345,0.71722895,0.086522593,0.523630107,0.854074748
0.74078,0.719249529,0.087197077,0.523576664,0.856572282
0.74811,0.721265684,0.087866019,0.523513241,0.859044275
0.75544,0.723277376,0.088529373,0.523439663,0.86149071
0.76277,0.725284563,0.089187089,0.523355754,0.863911571
0.7701,0.727287206,0.08983912,0.523261334,0.866306852
0.77743,0.729285263,0.090485419,0.523156219,0.868676548
0.78476,0.731278694,0.091125937,0.523040224,0.871020659
0.79209,0.733267459,0.091760627,0.522913158,0.87333919
0.79942,0.735251518,0.092389443,0.522774829,0.875632151
0.80675,0.737230831,0.093012338,0.522625041,0.877899555
0.81408,0.739205358,0.093629264,0.522463595,0.880141421
0.82141,0.74117506,0.094240175,0.522290287,0.882357771
0.82874,0.743139895,0.094845025,0.522104912,0.884548632
0.83607,0.745099826,0.095443768,0.521907258,0.886714035
0.8434,0.747054811,0.096036357,0.521697112,0.888854015
0.85073,0.749004813,0.096622748,0.521474256,0.890968612
0.85806,0.750949791,0.097202895,0.521238469,0.893057869
0.86539,0.752889706,0.097776752,0.520989524,0.895121834
0.87272,0.754824519,0.098344275,0.520727191,0.897160558
0.88005,0.756754191,0.098905418,0.520451238,0.899174097
0.88738,0.758678684,0.099460138,0.520161424,0.901162511
0.89471,0.760597957,0.100008389,0.519857508,0.903125862
0.90204,0.762511974,0.100550128,0.519539242,0.905064218
0.90937,0.764420694,0.10108531,0.519206374,0.90697765
0.9167,0.766324079,0.101613892,0.518858647,0.908866233
0.92403,0.768222092,0.10213583,0.518495801,0.910730044
0.93136,0.770114693,0.102651082,0.518117568,0.912569165
0.93869,0.772001846,0.103159603,0.517723678,0.914383683
0.94602,0.77388351,0.103661352,0.517313854,0.916173685
0.95335,0.775759649,0.104156285,0.516887813,0.917939265
0.96068,0.777630225,0.104644361,0.516445268,0.919680518
0.96801,0.7794952,0.105125537,0.515985928,0.921397542
0.97534,0.781354536,0.105599771,0.515509493,0.923090441
0.98267,0.783208195,0.106067022,0.515015659,0.924759321
0.99,0.785056142,0.106527248,0.514504116,0.926404289