POVI,ZZ.Male,ZW.Female,Con,Sex,db,E,activity,Topt,Pmax
POVI_1,1,0,11,ZZm,1.515326187,0.460738012,2.761920447,32.05890324,1.106029785
POVI_10,1,0,11,ZZm,0.85178089,0.696875128,4.604024758,40.76133426,1.59351574
POVI_11,0,1,11,ZWf,0.43002621,0.815439395,2.174418826,35.00640449,1.17992234
POVI_12,1,0,11,ZZm,0.314493437,0.888080627,3.262896825,41.1800812,1.616267288
POVI_13,1,0,10,ZZm,0.754779783,0.731395095,2.436701324,35.0070393,1.173694998
POVI_14,1,0,11,ZZm,0.933409493,0.667825803,3.955238527,40.75251854,1.643406794
POVI_15,1,0,11,ZZm,0.861810618,0.69330583,2.736309524,36.05277888,1.434865701
POVI_16,1,0,10,ZZm,0.596188297,0.787833346,2.842179128,37.93419907,1.306914319
POVI_17,1,0,10,ZZm,0.711115438,0.746934008,2.795833333,37.86159043,1.342453087
POVI_18,1,0,10,ZZm,0.943735138,0.664151196,1.854207007,35.97819547,1.238744074
POVI_19,1,0,10,ZZm,0.956081676,0.659757411,2.12429972,42.09250874,0.970994292
POVI_20,1,0,10,ZZm,1.172550232,0.582722337,3.204118774,37.06037191,1.51816349
POVI_21,0,1,11,ZWf,0.309013414,0.867376217,3.188467262,41.03330299,1.171908508
POVI_22,1,0,11,ZZm,2.088624997,0.256717083,3.05952381,34.178476,1.39892194
POVI_24,1,0,10,ZZm,0.875459235,0.688448671,1.983321462,40.77749643,1.316153614
POVI_26,1,0,10,ZZm,1.322232998,0.529454449,1.125,40.62469053,1.0865311
POVI_27,0,1,10,ZWf,1.717756828,0.26276531,5.913690476,35.01979077,0.89215001
POVI_28,1,0,10,ZZm,0.868004054,0.69110176,2.298484848,34.87480343,0.957729176
POVI_29,1,0,10,ZZm,0.177529363,0.936822291,10.88345712,37.06313763,1.152366173
POVI_3,1,0,10,ZZm,0.327317901,0.883516761,2.027192982,39.6637765,1.326319271
POVI_30,1,0,10,ZZm,0.199145594,0.929129682,3.8,35.82305898,1.162079506
POVI_31,1,0,10,ZZm,0.085682557,0.969507987,4.170833333,37.03448652,1.482080855
POVI_32,1,0,10,ZZm,0,1,11.60416667,35.76271522,1.131605236
POVI_4,1,0,10,ZZm,1.145894696,0.592208293,1.016166126,36.03071646,1.312607132
POVI_7,1,0,10,ZZm,0.691593391,0.753881356,2.703575289,35.03909482,1.280796413
POVI_8,1,0,10,ZZm,0.622373243,0.77851486,1.868531746,35.02670515,1.164971035
POVI_9,1,0,10,ZZm,0.578385181,0.794168975,2.442899434,36.96024158,1.494965952